hdp_shardid,skclientkey,device_naturalkey,dispensingdevicename
7,10023,-2147457921,T14SE
7,10023,-2147457920,T13NW1
7,10023,-2147457919,A07NE
7,10023,-2147457918,T13SW1
7,10023,-2147457973,A05ENDO9
7,10023,-2147457972,A05ENDO10
7,10023,-2147457971,T03STLB
7,10023,-2147457970,T03TEE
7,10023,-2147457969,zzT04PRO10
7,10023,-2147457968,zzT04PRO11
7,10023,-2147457967,T04PRO4
7,10023,-2147457966,zzT04PRO7
7,10023,-2147457965,T05EPI
7,10023,-2147457964,T05ORE
7,10023,-2147457963,T05ORW
7,10023,-2147457962,ES-T05RX
7,10023,-2147457961,T07EPI
7,10023,-2147457960,T07ORE
7,10023,-2147457959,T07ORW
7,10023,-2147457958,ES-T07RX
7,10023,-2147457957,T07RX
7,10023,-2147457956,T05PACU
7,10023,-2147457955,K08N
7,10023,-2147457954,T04PACU
7,10023,-2147457953,T05PREP
7,10023,-2147457952,A05PACU2
7,10023,-2147457951,T04PREP
7,10023,-2147457950,A05 PREP
7,10023,-2147457949,T04ORW
7,10023,-2147457948,T04ORMID
7,10023,-2147457947,T04ORE
7,10023,-2147457946,T04EXTREC
7,10023,-2147457888,A05PACU1
7,10023,-2147457887,ED TRIAGE
7,10023,-2147457886,T13SW
7,10023,-2147457885,T13NW
7,10023,-2147457884,ES-K09OBS
7,10023,-2147457883,K07ACUTEHD
7,10023,-2147457882,B6N
7,10023,-2147457881,K09N
7,10023,-2147457880,EDA
7,10023,-2147457879,EDB
7,10023,-2147457878,EDC
7,10023,-2147457385,B7S
7,10023,-2147456396,T13NE1
7,10023,-2147456390,A01RADONC
7,10023,-2147454806,RSI - T10SW
7,10023,-2147454805,T03CT
7,10023,-2147454566,T11W-CT
7,10023,-2147453811,Pyxis Link
7,10023,-2147450516,T03MRI
7,10023,-2147450515,ED-CT
7,10023,-2147448651,A09NW
7,10023,-2147437298,ANESAOR5
7,10023,-2147434862,T05ANESWKRMGAS
7,10023,-2147434861,T07ANESWKRMGAS
7,10023,-2147432197,zzproct
7,10023,-2147428217,ANESAOR7
7,10023,-2147428216,T08NICUA
7,10023,-2147457917,A07NW
7,10023,-2147457916,T13SE
7,10023,-2147457915,ES-T13NE1
7,10023,-2147457914,T13NE
7,10023,-2147457913,T13SE1
7,10023,-2147457912,A07SW
7,10023,-2147457911,T12SW
7,10023,-2147457910,A07SE
7,10023,-2147457909,T12NW
7,10023,-2147457908,ZZT12NE1 not in service
7,10023,-2147457907,T11NE
7,10023,-2147457906,ES-T11SE1
7,10023,-2147457905,T11SE
7,10023,-2147457904,T12NE
7,10023,-2147457903,T11NW
7,10023,-2147457902,T12SE
7,10023,-2147457901,T11SW
7,10023,-2147457900,T10NE
7,10023,-2147457899,T10SE
7,10023,-2147457898,T10NW
7,10023,-2147457897,T10SW
7,10023,-2147457896,A09SE
7,10023,-2147457895,zzA09SE2 not in service
7,10023,-2147457894,A09SW
7,10023,-2147457893,zzA09SW2 not in service
7,10023,-2147457892,ZZA9N not in service
7,10023,-2147457891,ZZA9NE not in service
7,10023,-2147457890,A09NE
7,10023,-2147457889,zzA7N NOT IN SERVICE s
7,10023,-2147458041, 
7,10023,-2147458040,RUMCTEST
7,10023,-2147458039,ES-BIOID
7,10023,-2147458038,ANESTOR29
7,10023,-2147458037,ES-BIOID2
7,10023,-2147458036,ANEST07BU
7,10023,-2147458035,ES-ANESTOR29
7,10023,-2147458034,ANESTOR30
7,10023,-2147458033,ANESTOR31
7,10023,-2147458032,ANESTOR32
7,10023,-2147458031,ANESTOR33
7,10023,-2147425152,A05ENDO7
7,10023,-2147425157,ANESTPRO12
7,10023,-2147425156,ANEST03TEE
7,10023,-2147425155,ANESTPRO8
7,10023,-2147425163,ANESTPRO4
7,10023,-2147425172,T04PRO1
7,10023,-2147425171,T04PRO3
7,10023,-2147425170,T04PRO5
7,10023,-2147425169,T04PRO6
7,10023,-2147425168,T04PRO7
7,10023,-2147425167,T04PRO9
7,10023,-2147425166,T04PRO10
7,10023,-2147425165,T04PRO11
7,10023,-2147425175,B5N
7,10023,-2147426708,ANESA05BU
7,10023,-2147427069,ZZT10TOWER
7,10023,-2147458001,ANESAENDO3
7,10023,-2147458000,ANESAENDO4
7,10023,-2147457999,ANESAOR1
7,10023,-2147457998,ANESAOR2
7,10023,-2147457997,ANESAOR3
7,10023,-2147457996,ANESAOR4
7,10023,-2147457995,ANESAOR6
7,10023,-2147457994,ANESAENDO2
7,10023,-2147457993,ANESAOR8
7,10023,-2147457992,ANESAOR30
7,10023,-2147457991,ANEST03CT
7,10023,-2147457990,ANESTLD1
7,10023,-2147457989,ANESTLD2
7,10023,-2147457988,ANESTLD3
7,10023,-2147457987,ANESTPRO2
7,10023,-2147457986,ANESTPRO13
7,10023,-2147457985,A05BRON514
7,10023,-2147457984,T04PRO12
7,10023,-2147457983,T07PREP
7,10023,-2147457982,A05ORE
7,10023,-2147457981,CFA
7,10023,-2147457980,A05 ENDO
7,10023,-2147457979,K09S
7,10023,-2147457978,A05ORW
7,10023,-2147457977,OR30
7,10023,-2147457976,PRO217IVF
7,10023,-2147457975,A05ENDO7
7,10023,-2147457974,A05ENDO8
7,10023,-2147458030,ANESTOR34
7,10023,-2147458029,ANESTOR35
7,10023,-2147458028,ANESTOR36
7,10023,-2147458027,ANESTOR37
7,10023,-2147458026,ANESTOR38
7,10023,-2147458025,ANESTOR39
7,10023,-2147458024,ANESTOR40
7,10023,-2147458023,ANESTOR41
7,10023,-2147458022,ANESTOR42
7,10023,-2147458021,K05
7,10023,-2147458020,ANEST05BU
7,10023,-2147458019,ANESTOR15
7,10023,-2147458018,ANESTOR16
7,10023,-2147458017,ANESTOR17
7,10023,-2147458016,ANESTOR18
7,10023,-2147458015,ANESTOR19
7,10023,-2147458014,ANESTOR20
7,10023,-2147458013,ANESTOR21
7,10023,-2147458012,ANESTOR22
7,10023,-2147458011,ANESTOR23
7,10023,-2147458010,ANESTOR24
7,10023,-2147458009,ANESTOR25
7,10023,-2147458008,ANESTOR26
7,10023,-2147458007,ANESTOR27
7,10023,-2147458006,ANESTOR28
7,10023,-2147458005,T05RX
7,10023,-2147458004,ANESAOR5
7,10023,-2147458003,ANESAENDO1
7,10023,-2147458002,ANESAENDO6
7,10606,-2147425149,PH0C36PET
7,10606,-2147425150,HC201ONCIDS
7,10606,-2147425176,3MCHOSPRX
7,10606,-2147425398,RC117ONC
7,10606,-2147426523,TF2PNEURO
7,10606,-2147426661,PA1IRPREOP
7,10606,-2147426660,PA1IRPREOP360
7,10606,-2147426659,PA1IRPERI
7,10606,-2147426658,PA1CT1
7,10606,-2147428473,UK-COVID-1
7,10606,-2147428472,UK-COVID-6
7,10606,-2147428471,UK-COVID-7
7,10606,-2147428470,UK-COVID-8
7,10606,-2147428538,PH3ENDOOR3
7,10606,-2147428537,PH3ENDOOR4
7,10606,-2147428536,PH3OBOR1
7,10606,-2147428535,PH3OBOR2
7,10606,-2147428534,PH3OBOR3
7,10606,-2147428533,GH2CATHOR1
7,10606,-2147428532,GH2CATHOR2
7,10606,-2147428531,GH2CATHOR3
7,10606,-2147428530,GH2CATHOR4
7,10606,-2147428529,GH2CATHOR5
7,10606,-2147428528,GH4CASOR1
7,10606,-2147428527,GH4CASOR2
7,10606,-2147428526,GH4CASOR3
7,10606,-2147428525,GH4CASOR4
7,10606,-2147428524,GH4CASOR5
7,10606,-2147428523,GH4CASOR6
7,10606,-2147428522,GH4CASOR7
7,10606,-2147428521,GH4CASOR8
7,10606,-2147428520,PHAGRPEDENOR1
7,10606,-2147428519,PHAGRPEDSEDOR1
7,10606,-2147428596,PAA2OR2
7,10606,-2147428595,PAA2OR3
7,10606,-2147428594,PAA2OR4
7,10606,-2147428593,PAA2OR5
7,10606,-2147426657,PA1CT2
7,10606,-2147426656,PA1IR5
7,10606,-2147426655,PA1IR6
7,10606,-2147426654,PA1IR9
7,10606,-2147426653,PA1IR10
7,10606,-2147426652,PA1IR11
7,10606,-2147426651,PA1IR12
7,10606,-2147426650,PA1IR14
7,10606,-2147427066,PH2OR18A
7,10606,-2147427114,PH2OR18
7,10606,-2147427113,PHAGRPEDSEDOR2
7,10606,-2147427756,UHS112
7,10606,-2147427755,UHS247
7,10606,-2147427754,UHS298
7,10606,-2147428004,BGCARERX
7,10606,-2147428005,PHX215
7,10606,-2147428034,KCIMGRX
7,10606,-2147428033,TF1FMED
7,10606,-2147428038,PGH258RAD
7,10606,-2147428063,PA0EDOVF
7,10606,-2147428374,UK-COVID-5
7,10606,-2147428435,6EASTRX
7,10606,-2147428434,GS104MRI-2
7,10606,-2147428433,WE206SPEC
7,10606,-2147428478,MAXOBGYN1
7,10606,-2147428477,GS104MRI-1
7,10606,-2147428476,UK-COVID-2
7,10606,-2147428475,UK-COVID-3
7,10606,-2147428474,UK-COVID-4
7,10606,-2147438276,PAVA6156AC
7,10606,-2147438275,PAVA6166PC
7,10606,-2147438274,PAVA6192CC
7,10606,-2147438273,PAVA6256AC
7,10606,-2147438272,PAVA6266PC
7,10606,-2147438271,PAVA6292CC
7,10606,-2147438270,PAVA7156AC
7,10606,-2147438269,PAVA7166PC
7,10606,-2147438268,PAVA7192CC
7,10606,-2147438267,PAVA7256AC
7,10606,-2147438266,PAVA7266PC
7,10606,-2147438265,PAVA7292CC
7,10606,-2147438264,PAVA8156PC
7,10606,-2147438263,PAVA8166PC
7,10606,-2147438262,PAVA8192PC
7,10606,-2147438261,PAVA8256CC
7,10606,-2147438260,PAVA8266CC
7,10606,-2147438259,PAVA8292CC
7,10606,-2147438248,2APREOP3
7,10606,-2147438247,2APREOP4
7,10606,-2147438246,2APREOP5
7,10606,-2147438245,2APREOP6
7,10606,-2147437456,KCHCPSURX
7,10606,-2147437115,2APREOP1
7,10606,-2147437114,2APREOP2
7,10606,-2147437113,A03CENIDS1
7,10606,-2147436046,EDOBS1
7,10606,-2147435948,CC2CLINIC
7,10606,-2147438304,A102MED1
7,10606,-2147438303,A102MED2
7,10606,-2147438302,A102MED3
7,10606,-2147438301,A111MCC1
7,10606,-2147438300,A111MCC2
7,10606,-2147438299,A111MCC3
7,10606,-2147438298,A112MCC1
7,10606,-2147438297,A112MCC2
7,10606,-2147438296,A112MCC3
7,10606,-2147438295,EDACUTE
7,10606,-2147438294,EDCC
7,10606,-2147438293,EDCTSCAN
7,10606,-2147438292,EDOBS1
7,10606,-2147438291,EDOBS2
7,10606,-2147438290,EDPEDS
7,10606,-2147438289,EDTRBAY
7,10606,-2147438288,EDTRIAGE
7,10606,-2147438287,EDVISUAL
7,10606,-2147438286,GMCRAD1
7,10606,-2147438285,GRNUCLMED1
7,10606,-2147438284,H02APHER
7,10606,-2147438283,H02PEDPAC1
7,10606,-2147438282,H02PEDPRE1
7,10606,-2147438281,H04PEDONC1
7,10606,-2147438280,IVROOMRX
7,10606,-2147438279,K03TXP1
7,10606,-2147438278,KCMRIRX
7,10606,-2147438277,KCSPAINRX
7,10606,-2147435939,PEDSENDO
7,10606,-2147435938,MAXRAD
7,10606,-2147435937,4PHARM
7,10606,-2147434786,4PICURX2
7,10606,-2147434264,KCPEDSPEC
7,10606,-2147434045,2GCATHRX2
7,10606,-2147433227,LCONCRX
7,10606,-2147431639,H2CHEMO
7,10606,-2147431638,BRACHY
7,10606,-2147428563,PH3IROR3
7,10606,-2147428562,PH3IROR4
7,10606,-2147428561,PH3ENDOOR1
7,10606,-2147428560,PH3ENDOOR2
7,10606,-2147428622,PAA2OR1
7,10606,-2147428944,4NEORX
7,10606,-2147428961,KCWHRX
7,10606,-2147428960,UHS309IMG
7,10606,-2147429651,EHIMGRX
7,10606,-2147438380,Pyxis Link
7,10606,-2147438379, 
7,10606,-2147438378,NICURX1
7,10606,-2147438377,NICURX2
7,10606,-2147438376,NICURX3
7,10606,-2147438375,NICURX4
7,10606,-2147438374,1HMCRX
7,10606,-2147438373,3MCHOSP1
7,10606,-2147438372,2MCOPRX
7,10606,-2147438371,1GECHORX
7,10606,-2147438370,1GIMGRX
7,10606,-2147438369,1MCOPRX
7,10606,-2147438368,2AOR4ACORE
7,10606,-2147438367,2AOR9ACORE
7,10606,-2147438366,2AORPHARM
7,10606,-2147438365,2APACFLEX1
7,10606,-2147438364,2APACFLEX2
7,10606,-2147438363,2APACU1
7,10606,-2147438362,2APACU2
7,10606,-2147428592,PAA2OR6
7,10606,-2147428591,PAA2OR7
7,10606,-2147428590,PAA2OR8
7,10606,-2147428589,PAA2OR9
7,10606,-2147428588,PAA2OR10
7,10606,-2147428587,PAA2OR11
7,10606,-2147428586,PAA2OR12
7,10606,-2147428585,PAA2OR14
7,10606,-2147428584,PAA2OR15
7,10606,-2147428583,PAA2OR16
7,10606,-2147428582,PHA2OR1
7,10606,-2147428581,PHA2OR2
7,10606,-2147428580,PHA2OR3
7,10606,-2147428579,PHA2OR4
7,10606,-2147428578,PHA2OR5
7,10606,-2147428577,PHA2OR6
7,10606,-2147428576,PHA2OR7
7,10606,-2147428575,PHA2OR8
7,10606,-2147428574,PHA2OR9
7,10606,-2147428573,PHA2OR10
7,10606,-2147428572,PHA2OR11
7,10606,-2147428571,PHA2OR12
7,10606,-2147428570,PH2OR14
7,10606,-2147428569,PH2OR15
7,10606,-2147428568,PH2OR16
7,10606,-2147428567,PH2OR17
7,10606,-2147428566,PH2OR19
7,10606,-2147428565,PH3IROR1
7,10606,-2147428564,PH3IROR2
7,10606,-2147438332,5DIALYSRX
7,10606,-2147438331,5EASTRX
7,10606,-2147438330,5N_SCURX
7,10606,-2147438329,5SOUTHRX
7,10606,-2147438328,5WESTRX
7,10606,-2147438327,4NEORX
7,10606,-2147438326,6NORTHRX
7,10606,-2147438325,6SOUTHRX
7,10606,-2147438324,6WESTRX
7,10606,-2147438323,7EASTRX
7,10606,-2147438322,7SOUTHRX
7,10606,-2147438321,7WESTRX
7,10606,-2147438320,8EASTRX
7,10606,-2147438319,8SOUTHRX
7,10606,-2147438318,8WESTRX
7,10606,-2147438317,A00RADCT1
7,10606,-2147438316,A00RADMRI1
7,10606,-2147438315,A00RADNUR1
7,10606,-2147438314,A03CENIDS1
7,10606,-2147438313,A091MED1
7,10606,-2147438312,A091MED2
7,10606,-2147438311,A091MED3
7,10606,-2147438310,A092MED1
7,10606,-2147438309,A092MED2
7,10606,-2147438308,A092MED3
7,10606,-2147438307,A101MED1
7,10606,-2147438306,A101MED2
7,10606,-2147438305,A101MED3
7,10606,-2147438361,2APREOP1
7,10606,-2147438360,2APREOP2
7,10606,-2147438359,2CENTRALRX
7,10606,-2147438358,2CTSCAN3RX
7,10606,-2147438357,2GCATHRX
7,10606,-2147438356,2GPNRRX
7,10606,-2147438355,2HAOR12COR
7,10606,-2147438354,2HS224ORN
7,10606,-2147438353,2MICU1RX
7,10606,-2147438352,2MICU2RX
7,10606,-2147438351,CC3WCARE
7,10606,-2147438350,3CASPRERX
7,10606,-2147438349,3ENDORX
7,10606,-2147438348,3GINFRX
7,10606,-2147438347,3INTRADRX
7,10606,-2147438346,3LDRRX
7,10606,-2147438345,3NEORX
7,10606,-2147438344,3NORTHRX
7,10606,-2147438343,3OBRX
7,10606,-2147438342,3PACURX
7,10606,-2147438341,4CANERX
7,10606,-2147438340,4CASEYERX
7,10606,-2147438339,4CASPACRX
7,10606,-2147438338,4EASTRX
7,10606,-2147438337,4NORTHRX
7,10606,-2147438336,H02IRPACU
7,10606,-2147438335,4PHARM
7,10606,-2147438334,4PICURX
7,10606,-2147438333,4WESTRX
12,12699,-2147438482,HAHN2OR6
12,12699,-2147438483,HAHNEYESUR
12,12699,-2147438484,HAHNENDO
12,12699,-2147438485,HAHNSPORT
12,12699,-2147438486,HAHNPLASTI
12,12699,-2147438487,HAHNHAND
12,12699,-2147438488,HAHNPACU
12,12699,-2147438489,HAHNFHC
12,12699,-2147438490,HAHNDERM4
12,12699,-2147438491,HAHNDERM2
12,12699,-2147438492,HAHNDAYADM
12,12699,-2147438493,HAHNANESWR
12,12699,-2147438494,HAHN3OR3
12,12699,-2147438495,HAHN3OR2
12,12699,-2147438496,HAHN3OR1
12,12699,-2147438497,HAHN2OR5
12,12699,-2147438498,HAHN2OR4
12,12699,-2147438499,HAHN2OR3
12,12699,-2147438500,HAHN2OR2
12,12699,-2147438501,HAHN2OR1
12,12699,-2147438502, 
12,12699,-2147438503,Pyxis Link
12,12699,-2147437938,HAHNSPORT2
12,12699,-2147437779,HAHNBARRE
12,12699,-2147436441,HAHNRTC
16,11846,-2147454009,WC_PREOP
16,11846,-2147454010,WC_OR-1
16,11846,-2147454011,WC_PEDSED
16,11846,-2147454012,WC_PACU
16,11846,-2147454013,WC_POSTREC
16,11846,-2147454014,MH-TRAINes
16,11846,-2147454015,WC-TRAINes
16,11846,-2147454016,TEST2es
16,11846,-2147454279,WC_NICU
16,11846,-2147454630,MH_3E-W
16,11846,-2147454631,MH_4E-W
16,11846,-2147454632,MH_2W-W
16,11846,-2147454633,2W-Wes
16,11846,-2147454634,MH_2E-W
16,11846,-2147454809,WC_3WSE
16,11846,-2147454810,WC_4NEE
16,11846,-2147454820,WC_4SEE
16,11846,-2147454821,WC_4S-E
16,11846,-2147455092,WC_5MBE
16,11846,-2147455093,WC_LDPACU
16,11846,-2147455094,WC_2S-E
16,11846,-2147455095,WC_2E-E
16,11846,-2147455553,WC_RADNSG
16,11846,-2147451486,WC_A-OR1
16,11846,-2147451487,WC_A-LD3
16,11846,-2147451488,WC_A-LD2
16,11846,-2147451489,WC_A-LD1
16,11846,-2147451490,MH_A-ENDO2
16,11846,-2147451491,MH_SURGERY
16,11846,-2147451492,MH_PREPOST
16,11846,-2147451725,2E-M
16,11846,-2147452621,MH_A-ENDO2es
16,11846,-2147452749,WC_OB-ED
16,11846,-2147452750,MH_A-ENDO2es
16,11846,-2147452751,MH_A-IMAGE
16,11846,-2147452752,MH_A-OR5
16,11846,-2147452753,MH_A-OR4
16,11846,-2147452754,MH_A-OR3
16,11846,-2147452755,MH_A-OR2
16,11846,-2147452756,MH_A-OR1
16,11846,-2147452763,MH_IMAGING
16,11846,-2147452764,MH_ENDO
16,11846,-2147452765,MH_AFTERHR
16,11846,-2147452766,MH_ED
16,11846,-2147453656,Pyxis Link
16,11846,-2147454007,WC-TRAIN
16,11846,-2147454008,WC_OR-2
16,11846,-2147456960,AS-OR-2
16,11846,-2147456961,AS-OR-1
16,11846,-2147457105,3REHABes
16,11846,-2147457106,2REHABes
16,11846,-2147457208,AS-2ST-6
16,11846,-2147457209,AS-2ST-5
16,11846,-2147457210,AS-2ST-4
16,11846,-2147457211,AS-2ST-3
16,11846,-2147457212,AS-2ST-2
16,11846,-2147457213,AS-2ST-1
16,11846,-2147458048,ANESTHESIA
16,11846,-2147458049,OR-2
16,11846,-2147458050,OR-1
16,11846,-2147458051,PACU-1
16,11846,-2147458052,CVOR
16,11846,-2147458053,2ST-OR
16,11846,-2147458054,2ST-PACU
16,11846,-2147458055,ORTH-PREOP
16,11846,-2147458639,AS-GMT-8
16,11846,-2147458640,AS-GMT-7
16,11846,-2147458641,AS-GMT-5
16,11846,-2147458642,AS-GMT-4
16,11846,-2147458643,AS-GMT-3
16,11846,-2147455770,WC_STJUDE
16,11846,-2147455771,OPMED-A
16,11846,-2147455772,WC_ENDO-2
16,11846,-2147455773,WC_ENDO-1
16,11846,-2147456940,AS-OR-23
16,11846,-2147456941,AS-OR-22
16,11846,-2147456942,AS-CVOR-21
16,11846,-2147456943,AS-CVOR-20
16,11846,-2147456944,AS-CVOR-19
16,11846,-2147456945,AS-CVOR-18
16,11846,-2147456946,AS-OR-17
16,11846,-2147456947,AS-OR-16
16,11846,-2147456948,AS-OR-15
16,11846,-2147456949,AS-OR-14
16,11846,-2147456950,AS-OR-12
16,11846,-2147456951,AS-OR-11
16,11846,-2147456952,AS-CVOR-10
16,11846,-2147456953,AS-OR-9
16,11846,-2147456954,AS-OR-8
16,11846,-2147456955,AS-OR-7
16,11846,-2147456956,ZZ-AS-OR-6
16,11846,-2147456957,AS-OR-5
16,11846,-2147456958,AS-OR-4
16,11846,-2147456959,AS-OR-3
16,11846,-2147438462,MH_5E-W
16,11846,-2147438471,MH_2NIW
16,11846,-2147438472,MH_2NIW
16,11846,-2147438539,3NWM
16,11846,-2147438889,MH_5EIW
16,11846,-2147439333,OR-3
16,11846,-2147439339,AS-OR-27
16,11846,-2147439340,AS-OR-26
16,11846,-2147439341,AS-OR-25
16,11846,-2147439342,AS-OR-24
16,11846,-2147440792,HOSPICE
16,11846,-2147451474,WC_A-OR14
16,11846,-2147451475,WC_A-OR12
16,11846,-2147451476,WC_A-OR11
16,11846,-2147451477,WC_A-OR10
16,11846,-2147451478,WC_A-OR9
16,11846,-2147451479,WC_A-OR8
16,11846,-2147451480,WC_A-OR7
16,11846,-2147451481,WC_A-OR6
16,11846,-2147451482,WC_A-OR5
16,11846,-2147451483,WC_A-OR4
16,11846,-2147451484,WC_A-OR3
16,11846,-2147451485,WC_A-OR2
16,11846,-2147436463,SHRU
16,11846,-2147436481,WC_NICU-2
16,11846,-2147438148,AS-EPLAB4
16,11846,-2147438149,AS-EPLAB3
16,11846,-2147438157,PREOP-3
16,11846,-2147438158,MH_A-ENDO4
16,11846,-2147438159,MH_A-OR7
16,11846,-2147438160,MH_A-ENDO3
16,11846,-2147438161,MH_A-OR6
16,11846,-2147438162,MH_ENDMAIN
16,11846,-2147438254,MH
16,11846,-2147438255,Madison Hospital
16,11846,-2147438256,Madison
16,11846,-2147438257,Pyxis MedStation ES
16,11846,-2147434836,ST-PREOP
16,11846,-2147434837,ST-PACU
16,11846,-2147434838,ST-OR
16,11846,-2147434839,ST-ANES
16,11846,-2147434840,OPMED-B2
16,11846,-2147434841,2ST-PREOP
16,11846,-2147434842,2ST-ANES
16,11846,-2147434843,5-ST
16,11846,-2147434844,4-ST
16,11846,-2147434845,3-ST
16,11846,-2147434846,2-ST
16,11846,-2147434847,AS-ST-12
16,11846,-2147434848,AS-ST-11
16,11846,-2147434849,AS-ST-10
16,11846,-2147434850,AS-ST-9
16,11846,-2147434851,AS-ST-8
16,11846,-2147434852,AS-ST-7
16,11846,-2147434853,AS-2ST-8
16,11846,-2147434854,AS-2ST-7
16,11846,-2147434855,AS-ST-6
16,11846,-2147434856,AS-ST-5
16,11846,-2147434857,AS-ST-4
16,11846,-2147434858,AS-ST-3
16,11846,-2147434859,AS-ST-2
16,11846,-2147434860,AS-ST-1
16,11846,-2147434620,CLHC
16,11846,-2147434621,CLHC-REC
16,11846,-2147434449,ZZ-AS-BCKUP
16,11846,-2147460344,CHFCLINIC
16,11846,-2147460345,CATHTEE
16,11846,-2147460346,PAINCTR-2
16,11846,-2147460347,PAINCTR-1
16,11846,-2147460348,CATHLAB-5
16,11846,-2147460349,CATHLAB-4
16,11846,-2147460350,CATHLAB-3
16,11846,-2147460351,CATHLAB-2
16,11846,-2147460352,CATHLAB-1
16,11846,-2147460463,AS_TEST
16,11846,-2147460936,6W-M
16,11846,-2147460937,6E-M
16,11846,-2147460938,6N-M
16,11846,-2147460939,6MST
16,11846,-2147460940,6NEM
16,11846,-2147460941,3E-M
16,11846,-2147460942,3W-M
16,11846,-2147460943,6NWM
16,11846,-2147460944,PHARM-PSP
16,11846,-2147461116,5NEM
16,11846,-2147461117,OPMED-C
16,11846,-2147461118,OPMED-B
16,11846,-2147461142,ENDO-MAIN
16,11846,-2147458644,AS-GMT-2
16,11846,-2147458645,AS-GMT-1
16,11846,-2147458745,GMT-OR
16,11846,-2147458746,GMT-2
16,11846,-2147458747,GMT-1
16,11846,-2147458912,8N-M_33-47
16,11846,-2147458920,8NEM
16,11846,-2147459058,SICU_20-25
16,11846,-2147459059,SICU_12-19
16,11846,-2147459060,SICU_01-11
16,11846,-2147459061,8N-M_33-47es
16,11846,-2147459062,8N-M_01-32
16,11846,-2147459285,DIALYSIS
