hdp_shardid,skclientkey,medid,medfulname
4,16339,5016454,PROSOURCE NO CARB BERRY PUNCH (PROSOURCE NO CARB BERRY PUNCH) (30 mL) PACKET
4,16339,5016487,METHADONE HCL ORAL CONCENTRATE 80 mg/8 mL SOLUTION
4,16339,5016001,CEFPODOXIME (VANTIN) 200 mg TAB
4,16339,5016503,COLLAGENASE (SANTYL) 10 g OINT
4,16339,5016517,COPPER GLUCONATE 2 mg TAB
4,16339,5015713,VITAMIN E 100 unit CAP
4,16339,5016269,VARENICLINE (CHANTIX) 1 mg TAB
4,16339,5016762,GALANTAMINE (RAZADYNE) 4 mg TAB
4,16339,5016768,DROXIDOPA (NORTHERA) 100 mg CAP
4,16339,5014974,DEXMETHYLPHENIDATE XR (FOCALIN XR) 15 mg CAP
4,16339,5016648,FIDAXOMICIN (DIFICID) 200 mg TAB
4,16339,5016647,DICYCLOMINE (BENTYL) 14 mg/7 mL SOLUTION
4,16339,5016499,VITAMIN A&D OINTMENT OINT
4,16339,5015465,PILOCARPINE (SALAGEN) 5 mg TAB
4,16339,5016652,KETOROLAC TROMETHAMINE 15 mg/1 mL (1 mL) INJECTION
4,16339,5016668,COLLAGEN HEMOSTAT (AVITENE ULTRAFOAM) 100 cm UNIT
4,16339,5016672,DILTIAZEM HCL (SR) 90 mg CAP
4,16339,5015863,Letrozole 2.5 mg TAB
4,16339,5016662,COVID-19 VACCINE (MODERNA) (MODERNA COVID-19 VACCINE) 0.5 mL INJECTION
4,16339,5016687,METHADONE HCL ORAL CONCENTRATE (METHADOSE) 160 mg/16 mL SOLUTION
4,16339,5016688,COVID-19 VACCINE (JANSSEN) (JANSSEN COVID-19 VACCINE) 0.5 mL INJECTION
4,16339,5015422,TERBINAFINE (LAMISIL) 250 mg TAB
4,16339,5016670,COVID-19 VACCINE (PFIZER) (PFIZER COVID-19 VACCINE) 0.3 mL INJECTION
4,16339,5015362,ACETYLCYSTEINE 20% (MUCOMYST) (2 mL) NEBULE SYRINGE
4,16339,5016707,INSULIN GLARGINE (SEMGLEE) REPLACEMENT PEN (REPLACEMENT SEMGLEE PEN) 100 unit/1 mL INJECTION
4,16339,5016615,PANCREATIC ENZYMES (CREON) 3000 unit CAP
4,16339,5016711,SILDENAFIL (VIAGRA) 25 mg TAB
4,16339,05016590,LACTASE (LACTAID) 9000 unit TAB
4,16339,5016717,METHADONE HCL ORAL CONCENTRATION (METHADOSE) 200 mg/20 mL SOLUTION
4,16339,5016590,LACTASE (LACTAID) 9000 unit TAB
4,16339,5016722,MESALAMINE DR (ASACOL) 800 mg TAB
4,16339,5016694,FUROSEMIDE (LASIX) 20 mg/2 mL (2 mL) VIAL
4,16339,5016741,PEPTIDE 1.5 CAL (COMPLEAT) (250 mL) SUSPENSION
4,16339,5014513,LEVOCARNITINE 330 mg TAB
4,16339,5016754,ATOMOXETINE (STRATTERA) 10 mg CAP
4,10163,LANTCOSIGN1,INSULIN (Lantus) GLARGINE COSIGN REQUIRED (Lantus) UNITS
4,10163,PEPC20SYR,FAMOTIDINE IN NSS (PEPCID IN NSS) 20 mg (5 mL) SYRINGE
4,10163,DAK.125,DAKIN'S SOLUTION (sodium hypochlorite) MISC.
4,10163,HEP3NEO,HEPARIN SODIUM (PF) (HEP-LOCK) 30 unit/3 mL SYRINGE
4,10163,REFRPCAKEY,Key - Refrigerator PCA Lockbox (Supplies) MISC.
4,10163,BRIV100,brivaracetam (BRIVIACT) 100 mg TABLET
4,10163,AMIO360,AMIODARONE (NEXTERONE) 360 mg (200 mL) INFUSION
4,10163,ATIV40,lorazepam (ATIVAN) 4 mg/1 mL (10 mL) VIAL
4,10163,RETA2000,EPOETIN ALFA-EPBX (RETACRIT) 2000 unit (1 mL) VIAL
4,10163,CYAN500,cyanocobalamin (VITAMIN B-12) 500 mcg TABLET
4,10163,EVIT2,Thrombin (Thrombin-JMI) 5000 unit VIAL
4,10163,LILE52,LEVONORGESTREL (LILETTA) 52 mg MISC.
4,10163,BRIM0.2,BRIMONIDINE (Alphagan P) 0.2 % (5 mL) OPTH DROPS
4,10163,AMIO100,amiodarone (CORDARONE) 100 mg TABLET
4,10163,DECA1,dexamethasone (DECADRON) 1 mg TABLET
4,10163,FENT10SYR,fentaNYL (SUBLIMAZE) 10 mcg/1 mL (1 mL) SYRINGE
4,10163,CLEV,CLEVIDIPINE (CLEVIPREX) 25 mg (50 mL) VIAL
4,10163,RETA4000,EPOETIN ALFA-EPBX (RETACRIT) 4000 unit (1 mL) VIAL
4,10163,LEFL20,leflunomide (ARAVA) 20 mg TABLET
4,10163,NARC4SPR,NALOXONE NASAL (NARCAN) 4 mg/0.1 mL SPRAY
4,10163,FIDA200,FIDAXOMICIN (DIFICID) 200 mg TABLET
4,10163,AGGR3.75,TIROFIBAN (AGGRASTAT) 3.75 mg (15 mL) VIAL
4,10163,TEMPSENS,Temperature Sensing Cables (Temperature Sensing Cables) EACH
4,10163,PPO,Pulse Oximeter (Pulse Oximeter) EACH
4,10163,PSS1,Pat. Spec Study #1 (Pat. Spec Study #1) EACH
4,10163,PSS2,Pat. Spec Study #2 (Pat. Spec Study #2) EACH
4,10163,PSS4,Pat. Spec Study #4 (Pat. Spec Study #4) EACH
4,10163,PSS3,Pat. Spec Study #3 (Pat. Spec Study #3) EACH
4,10163,DEX12SYROIC,Dexamethasone w/NaCl (Dexamethasone) 12 mg SYRINGE
4,10163,DEX20SYROIC,Dexamethasone w/NaCl (Dexamethasone w/NaCl) 20 mg SYRINGE
4,10163,OND16/10SYR,Ondansetron w/NaCl (Ondansetron w/NaCl) 16 mg SYRINGE
4,10163,BUP075B,BUPRENORPHINE (BUPRENORPHINE) 75 mcg/1 mL SYRINGE
4,10163,MAGSW2G,MAGNESIUM SULFATE (MAGNESIUM SULFATE) 2 g (50 mL) BAG
4,10163,JSKETAM,Ketamine (Ketalar) 100 mg/1 mL (5 mL) EACH
4,10163,NEOBUP,BUPRENORPHINE (BUPRENEX) 37.5 mcg (0.5 mL) SYRINGE
4,10163,FLUORI.6,FLUORECEIN (FUL-GLO) 0.6 mg STRIPS
4,10163,BELZER,BELZER UW-COLD STORAGE SOLUTION (BELZER UW-COLD STORAGE SOLUTION) (1000 mL) BAG
4,10163,KETA500IVPB,Ketamine (Ketamine) 500 mg (500 mL) BAG
4,10163,XKETALARold,KETAMINE 100MG./ML 5ML (KETALAR) 100 mg/1 mL (5 mL) mL
4,10163,XKETALAR100,KETAMINE 100MG./ML 5ML (KETALAR) 100 mg/1 mL (5 mL) mL
4,10163,HALD5IVPB,HALOPERIDOL LACTATE (HALDOL) 5 mg (1 mL) VIAL
4,10163,FLUCAINE,fluorescein - proparacaine 0.25 - 0.5% (FLUCAINE) (5 mL) DROPS
4,10163,ESTRCR,Estradiol (Estrace) 0.01 % CREAM
4,10163,Ketalar100new,KETAMINE (Ketalar) 100 mg/1 mL (5 mL) VIAL
4,10163,BUPFENT150,Bupiv 0.12%/Fentanyl 1.5mcg/ml (Bupiv 0.12%/Fentanyl 1.5mcg/ml) (150 mL) CASSETTE
4,10163,BUP0.5MDV,Bupivacaine (MDV) (Bupivacaine (MDV)) 0.5 % (50 mL) VIAL
4,10163,LANSOSUS,Lansoprazole (Prevacid) 30 mg (10 mL) LIQUID
4,10163,MDISPACER,MDI Spacer (SUPPLIES) 1 EA MISC.
4,10163,D10W250ML,DEXTROSE 10% IN WATER (DEXTROSE 10% IN WATER) (250 mL) BAG
4,10163,MORPH1z,morphine (NEONATAL) 1 mg (1 mL) SYRINGE
4,10163,APTI400,ESLIcarbazepine (APTIOM) 400 mg TABLET
4,10163,SANTYL10,collagenase 250 units/gm (SANTYL) 10 g OINTMENT
4,10163,MCGHANDLE,McGRATH DEVICE (McGRATH HANDLES) EACH
4,10163,2944,canagliflozin (INVOKANA) 100 mg TABLET
4,10163,2955,canagliflozin (INVOKANA) 300 mg TABLET
4,10163,3190,"TALC, STERILE (STERITALC) 3 g VIAL"
4,10163,HYDROHPVIALS,HYDROmorphoneE HP (DILAUDID HP) 10 mg/1 mL (5 mL) VIAL
4,10163,VITK5,phytonadione (VITAMIN K) 5 mg (5 mL) UD CUP
4,10163,PRIM25,primidone (MYSOLINE) 25 mg TABLET
4,10163,RIVA2.5,rivaroxaban (XARELTO) 2.5 mg TABLET
4,10163,DITR2.5,oxybutynin (DITROPAN) 2.5 mg TABLET
4,10163,BIKT,BIKTARVY (bictegravir-emtricitabine-tenofovir) TABLET
4,10163,ATOR5,atorvastatin (LIPITOR) 5 mg TABLET
4,10163,PHYTSYR1,PHYTONADIONE (VITAMIN K) (VITAMIN K) 1 mg (0.5 mL) INJ.
4,10163,SOTA40,sotalol (BETAPACE) 40 mg TABLET
4,10163,MAF50,MAFENIDE (SULFAMYLON) (50 g) POWDER
4,10163,RNINF,influenza for nursing vaccination (NURSING FLU VACCINATION STOCK) (0.5 mL) SYRINGE
4,10163,RIVA4.6,rivastigmine 4.6 mg/24 hour transdermal (Exelon) PATCH(ES)
4,10163,LRD5W1L,DEXTROSE 5% / LR (D5%/LACTATED RINGERS) BAG
4,10163,THEO24200,THEO-DUR (THEOPHYLLINE SA) 200 mg TABLET
4,10163,NITRO50,NITROGLYCERIN INFUSION (NITROGLYCERIN IN D5W) 50 mg (250 mL) BOTTLE
4,10163,CILO50,cilostazol (PLETAL) 50 mg TABLET
4,10163,HEMOSYS,HEMOCHRON (blood microcoagulation system) 1 EA KIT
4,10163,BRIV25,brivaracetam (BRIVIACT) 25 mg TABLET
4,10163,TAMB50,flecainide (TAMBOCOR) 50 mg TABLET
4,10163,TICA60,TICAGRELOR (BRILINTA) 60 mg TABLET
4,10163,LOPE1/7.5,LOPERAMIDE (IMODIUM) 1 mg (7.5 mL) LIQUID
4,10163,HYDRO5,hydrocortisone (CORTEF) 5 mg TABLET
4,10163,ENTR97103,Entresto 97mg/103mg (Sacubitril/ valsartan) TABLET
4,10163,COPP4,COPPER CONTRACEPTIVE (PARAGARD) 1 EA MISC.
4,10163,PARAG380,COPPER CONTRACEPTIVE (PARAGARD) 1 EA MISC.
4,10163,KETAM1000,ketamine (KETELAR) 100 mg/1 mL (10 mL) VIAL
4,10163,SYNT12.5,levothyroxine (SYNTHROID) 12.5 mcg TABLET
4,10163,UREA15,urea (URE-NA) 15 g PACKET
4,10163,OXYT30/500,OXYTOCIN (PITOCIN) 30 unit (500 mL) BAG
4,10163,UDEN6,PEGFILGRASTIM-CBQV (UDENYCA) 6 mg (0.6 mL) SYRINGE
4,10163,LOCKERKEY,Key - Locker (Supplies) MISC.
4,10163,PIFE100,doravirine (PIFELTRO) 100 mg TABLET
4,10163,WARF1.5,warfarin (COUMADIN) 1.5 mg TABLET
4,10163,SELE200,SELENIUM (SELENIUM) 200 mcg TABLET
4,10163,N95MASKS,mask N95 (small) (N95 MASK (S)) 1 unit EACH
4,10163,TRAZ25,traZODone (DESYREL) 25 mg TABLET
4,10163,RETA10000,EPOETIN ALFA-EPBX (RETACRIT) 10000 unit (1 mL) VIAL
4,10163,PYXISLABEL,PYXIS LABEL (INSULIN PRINTER) (Supplies) MISC.
4,10163,DILA10AMP,hydromorphone (DILAUDID) 10 mg/1 mL (1 mL) AMPUL
4,10163,ESMOINF10,ESMOLOL (Brevibloc) 2500 mg (250 mL) IVPB
4,10163,COCA4OS,Cocaine (Cocaine) 4 % (0.5 mL) SYRINGE
4,10163,PROS3,NEOSTIgmINE (PROSTIGMIN) 1 mg/1 mL (3 mL) SYRINGE
4,10163,HEP25000,Heparin/D5W (Heparin/D5W) 25000 unit (250 mL) BAG
4,10163,SILV400,SILVER sulfADIAZINE 1% (SILVER sulfADIAZINE) 400 g CREAM
4,10163,NABICAR4.2V,SODIUM BICARBONATE 4.2 % (5 mL) VIAL
4,10163,VENT0.5ML,ALBUTEROL 0.5% (VENTOLIN) 2.5 mg (0.5 mL) SOLUTION
4,10163,BUPR0.3,Buprenorphine (Butrans) 0.3 mg (1 mL) INJ.
4,10163,ROXI40,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 40 mg TABLET
4,10163,ROXI45,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 45 mg TABLET
4,10163,ROXI5,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 5 mg TABLET
4,10163,ROXI5/325,ROXICET 5-325 mg (oxyCODONE/APAP) SOLUTION
4,10163,ROXI50,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 50 mg TABLET
4,10163,ROXI70,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 70 mg TABLET
4,10163,ROXIC75,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 75 mg TABLET
4,10163,ROXISUD,PERCOCET (ROXICET EQUIV) (oxyCODONE/APAP PER 5 ML) UD CUP
4,10163,RSI,KIT - RSI (RSI KIT) MED
4,10163,RUFI200,RUFINAMIDE (BANZEL) 200 mg TABLET
4,10163,RUFI400,RUFINAMIDE (BANZEL) 400 mg TABLET
4,10163,RXPAD,RX PAPER ROLL (RX PAPER ROLL) EACH
4,10163,RYTH150,PROPAFENONE (RYTHMOL) 150 mg TABLET
4,10163,RYTH225,PROPAFENONE (RYTHMOL) 225 mg TABLET
4,10163,RYTH300,PROPAFENONE (RYTHMOL) 300 mg TABLET
4,10163,SACC250,SACCHAROMYCES BOULARDII (FLORASTOR) 250 mg CAPSULE
4,10163,SACC500,SACCHAROMYCES BOULARDII (FLORASTOR) 500 mg CAPSULE
4,10163,SALDISKUS,SALMETEROL (SEREVENT DISKUS) 50 mcg EACH
4,10163,SAND.05INJ,OCTREOTIDE (SandoSTATIN) 50 mcg AMPULE(S)
4,10163,SERZ50,NEFAZODONE (SERZONE) 50 mg TABLET
4,10163,SEVE400,SEVELAMER (RENAGEL) 400 mg TABLET
4,10163,SEVE800,SEVELAMER HCL (RENAGEL) 800 mg TABLET
4,10163,SEVPK,SEVELAMER CARBONATE (RENVELA) 800 mg PACKET
4,10163,SILD20,SILDENAFIL (REVATIO) 20 mg TABLET
4,10163,SILDSUS,SILDENAFIL PED ORAL (REVATIO PED ORAL) 2.5 mg (1 mL) SUSPENSION
4,10163,ROCE1INJ,cefTRIAXone (ROCEPHIN) 1000 mg VIAL
4,10163,ROCE1IVPB,cefTRIAXone  w/ 0.9% NSS (ROCEPHIN w/ 0.9% NSS) 1 g (100 mL) PIGGYBACK
4,10163,ROCE2IVPB,cefTRIAXone  w/ 0.9% NSS (ROCEPHIN) 2 g (50 mL) PIGGYBACK
4,10163,ROCEP IM,cefTRIAXone (ROCEPHIN) 1000 mg INJ.
4,10163,ROCJEFFSTAT1,ROCURONIUM (BOX 12) (ZEMURON) 100 mg VIAL
4,10163,ROCUBOL,ROCURONIUM (5ml) (ZEMURON) 50 mg/5 mL VIAL
4,10163,ROFL500,ROFLUMILAST (DALIRESP) 500 mcg TABLET
4,10163,ROGA10,MINOXIDIL (LONITEN) 10 mg TABLET
4,10163,ROMAZ,FLUMAZENIL (ROMAZICON) 1 mg (10 mL) VIAL
4,10163,ROMAZ5,FLUMAZENIL (ROMAZICON) 0.5 mg (5 mL) VIAL
4,10163,ROMI250,romiPLOStim (NPLATE) 250 mcg VIAL
4,10163,ROP.2B,ROPIVACAINE 0.2%  - BLUE (NAROPIN) (250 mL) CASSETTE
4,10163,ROP.2Y,ROPIVACAINE 0.2%  - YELLOW (NAROPIN) (250 mL) CASSETTE
4,10163,ROPEPI,ROPIVACAINE/NSS 0.9% EPIDURAL 0.2% (ROPIVACAINE/NSS 0.9% EPIDURAL 0.2%) (250 mL) BAG
4,10163,ROPIVPOINT2,ROPIVACAINE 0.2% (NAROPIN) 20 mg (10 mL) AMPUL
4,10163,ROSU10,ROSUVASTATIN (CRESTOR) 10 mg TABLET
4,10163,ROSU20,ROSUVASTATIN (CRESTOR) 20 mg TABLET
4,10163,ROSU40,ROSUVASTATIN (CRESTOR) 40 mg TABLET
4,10163,ROSU5,ROSUVASTATIN (CRESTOR) 5 mg TABLET
4,10163,ROWAENEMA,MESALAMINE (ROWASA) 4 g (60 mL) ENEMA (mL)
4,10163,ROXI100,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 100 mg TABLET
4,10163,ROXI15,oxyCODONE IR (ROXICODONE IR) 15 mg TABLET
4,10163,ROXI20,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 20 mg TABLET
4,10163,ROXI25,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 25 mg TABLET
4,10163,ROXI30,oxyCODONE IR (ROXICODONE IR) 30 mg TABLET
4,10163,ROXI35,oxyCODONE IMMEDIATE RELEASE (ROXICODONE IMMEDIATE RELEASE) 35 mg TABLET
4,10163,SODTET3,SODIUM TETRADECYL 3% (SOTRADECOL 3%) (2 mL) VIAL
4,10163,SOL4/2.5,PRISMASOL BGK 4/2.5 (5000 mL) BAG (PRISMASOL BGK 4/2.5) EACH
4,10163,SOLU1000,methylprednisoLONE (SOLU-MEDROL) 1 g INJ.
4,10163,SOLU2000,methylprednisoLONE (SOLU-MEDROL) 2 g INJ.
4,10163,SOLU40A,methylprednisoLONE (SOLU-MEDROL) 40 mg (1 mL) INJ.
4,10163,SOLU500,methylprednisoLONE (SOLU-MEDROL) 500 mg INJ.
4,10163,SOLUCOR100,HYDROCORTISONE SOD SUCCINATE (SOLU-CORTEF) 100 mg (2 mL) VIAL
4,10163,SOLUMED125,methylprednisoLONE (SOLU-MEDROL) 125 mg (2 mL) INJ.
4,10163,SOLUMED40,methylprednisoLONE (SOLU-MEDROL) 40 mg INJ.
4,10163,StraumannCScrew3.3,Straumann Cover Screw #3.3 (Straumann Cover Screw) MISC.
4,10163,StraumannCScrew4.1,Straumann Cover Screw #4.1/4.8 (Straumann Cover Screw) MISC.
4,10163,StraumannCScrew4.1/4.8,Straumann Cover Screw #4.1/4.8 (Straumann Cover Screw) MISC.
4,10163,StraumannCSWN,Straumann Cover Screw WN (Straumann Cover Screw) MISC.
4,10163,STRITAB,STRIBILD (STRIBILD) TABLET
4,10163,Stryker,Stryker Needle (Stryker Needle) EACH
4,10163,STUD10,Study Drug NRL (Study Drug NRL) 10 mg EACH
4,10163,STUD7.5,Study Drug NRL (Study Drug NRL) 7.5 mg EACH
4,10163,SUB20,SUBOXONE (SL) 20 MG - 5 MG (BURENORPHINE/NALOXONE 20 MG - 5 MG) TABLET SL
4,10163,SUBO2,SUBOXONE 2 MG - 0.5 MG (buprenorphine/naloxone) TABLET SL
4,10163,SUBO8,SUBOXONE 8 MG - 2 MG (buprenorphine/naloxone) TABLET SL
4,10163,SUCC20,SUCCINYLCHOLINE (SUCCINYLCHOLINE) 200 mg (10 mL) VIAL
4,10163,SUCCA,SUCCINYLCHOLINE (ANECTINE) 100 mg (5 mL) SYRINGE
4,10163,SUCRETS,DYCLONINE LOZENGE (SUCRETS) (SUCRETS) LOZENGE
4,10163,SUDA30,PSEUDOePHEDrine (SUDAFED) 30 mg TABLET
4,10163,SUFE100,SUFentanil (SUFENTA) 100 mcg (2 mL) AMPUL
4,10163,SUFE250,SUFentanil (SUFENTA) 250 mcg (5 mL) AMPUL
4,10163,SILIC5000,SILICONE OIL 5000MPA (SILICONE OIL 5000MPA) 5000 unit (10 mL) VIAL
4,10163,SILICIONE8.5,SILICONE OIL (SILICONE OIL) 1000 unit (8.5 mL) VIAL
4,10163,SILV50,SILVER sulfADIAZINE 1% (SILVER sulfADIAZINE 1% 1%) (50 g) CREAM
4,10163,SILVERNIT,SILVER NITRATE APPLICATORS (Supplies) EACH
4,10163,SIME80,SIMETHICONE (MYLICON) 80 mg TABLET
4,10163,SIMPLEX,SIMPLEX P WITH TOBRAMYCIN (BONE CEMENT PASTE) PASTE
4,10163,SIMV40,SIMVASTATIN (ZOCOR) 40 mg TABLET
4,10163,SIMVA20,SIMVASTATIN (ZOCOR) 20 mg TABLET
4,10163,SIMVA5,SIMVASTATIN (ZOCOR) 5 mg TABLET
4,10163,SINCR25,SINEMET CR 25-100mg (CARBIDOPA/LEVODOPA) TABLET
4,10163,SINCR50,SINEMET CR 50-200mg (CARBIDOPA/LEVODOPA) TABLET
4,10163,SINE10100,SINEMET 10-100mg (CARBIDOPA/LEVODOPA) TABLET
4,10163,SINE25100,SINEMET 25-100mg (CARBIDOPA/LEVODOPA) TABLET
4,10163,SINE25250,SINEMET 25-250mg (CARBIDOPA/LEVODOPA) TABLET
4,10163,SIRO5,SIROLIMUS (RAPAMUNE) 0.5 mg TABLET
4,10163,SIROL1,SIROLIMUS (RAPAMUNE) 1 mg TABLET
4,10163,SIROL2,SIROLIMUS (RAPAMUNE) 2 mg TABLET
4,10163,SITA100,sitaGLIPtin (JANUVIA) 100 mg TABLET
4,10163,SITA25,sitaGLIPtin (JANUVIA) 25 mg TABLET
4,10163,SITA50,sitaGLIPtin (JANUVIA) 50 mg TABLET
4,10163,SKEL800,METAXALONE (SKELAXIN) 800 mg TABLET
4,10163,SKINNY,Skinny Bin (Supplies) EACH
4,10163,SMALLADULT,BP Cuff Small Adult (Supplies) MISC.
4,10163,SODACEINJ,SODIUM ACETATE (SODIUM ACETATE) 40 mEq (20 mL) VIAL
4,10163,SODBI325,SODIUM BICARBONATE (SODIUM BICARBONATE) 325 mg TABLET
4,10163,SODBICNEB,SODIUM BICARBONATE 4.2% (SODIUM BICARBONATE 4.2%) 2.5 mEq (5 mL) VIAL
4,10163,EXT,PULSEOX EXT. CABLE (Supplies) MISC.
4,10163,EYE,ERYTHROMYCIN BASE 0.5% (ILOTYCIN 0.5%) (1 g) OINTMENT
4,10163,EYEIRR,EYE IRRIGATION SOLN (EYE IRRIGATION SOLN) OPTH DROPS
4,10163,EZ-10 DRIVER,EZ-10 Driver (Supplies) MISC.
4,10163,EZ-10 PEDIATRIC,EZ-IO Red 15mm (Supplies) MISC.
4,10163,EZ-10 TUBING,EZ-10 Tubing Connection (Supplies) MISC.
4,10163,EZ-10LARGE,EZ-IO Yellow 45mm (Supplies) MISC.
4,10163,EZ-10NEEDLE,EZ-IO Blue 25mm (Supplies) MISC.
4,10163,EZ750,EZ PAQUE Powder 96% -PINK (Supplies) BOTTLE
4,10163,EZ764,EZHD Powder 98% (Supplies) BOTTLE
4,10163,ez770,EZ Paque Esop Paste (EZ Paque Esop Paste) 60 % TUBE
4,10163,EZ793,EZ GAS II EFFERVESCENT (box) (Supplies) MISC.
4,10163,EZET10,EZETIMIBE (ZETIA) 10 mg TABLET
4,10163,EZL196,EZ PAQUE 60/41% liq- PINK (Supplies) BOTTLE
4,10163,EZOG200,EZOGABINE (POTIGA) 200 mg TABLET
4,10163,EZOG50,EZOGABINE (POTIGA) 50 mg TABLET
4,10163,EZSTABILIZER,EZ-Stabilizer (Supplies) MISC.
4,10163,FAMCONFKEY,Key - Family Conference Key (Supplies) MISC.
4,10163,FAMVIR125,FAMCICLOVIR (FAMVIR) 125 mg TABLET
4,10163,FAMVIR250,FAMCICLOVIR (FAMVIR) 250 mg TABLET
4,10163,FAMVIR500,FAMCICLOVIR (FAMVIR) 500 mg TABLET
4,10163,FASLODEX500MD,FULVESTRANT(MD OFFICE USE) (FASLODEX(MD OFFICE USE)) 500 mg INJ.
4,10163,FAT10/500,Fat (Intralipid) 10 % (500 mL) BAG
4,10163,FAT20%,FAT EMULSION 20% (INTRALIPID 20%) 250 mL BAG
4,10163,FAT20%TD,FAT EMULSION 20% (TEST) (fat emulsion test dose 20%) 250 mL BAG
4,10163,EPHSYR,ePHEDrine (ePHEDrine) 50 mg (10 mL) SYRINGE
4,10163,EPI1MG,EPINEPHrine (EPINEPHrine) 1 mg (1 mL) AMPULE(S)
4,10163,EPI4ANES,EPINEPHrine (EPINEPHrine) 4 mcg/1 mL (10 mL) SYRINGE
4,10163,EPIBAG,EPINEPHRINE (EPINEPHRINE) 6 mg (250 mL) INFUSION
4,10163,EPICRXK,EPIC RX Printer Key (EPIC RX Printer Key) EACH
4,10163,EPICRXP,EPIC RX Paper (EPIC RX Paper) EACH
4,10163,EPIDURALKEY,Key - Epidural (Supplies) MISC.
4,10163,EPIDURALSYRINGE,CHLOROPROCAINE/Na Bicarb (L&D ) (STAT C-Section Epidural Syr) (20 mL) SYRINGE
4,10163,EPIHRT,EPINEPHrine (INTRACARDIAC) 1:10000 (EPINEPHrine (INTRACARDIAC) 1:10000) 1 mg (10 mL) SYRINGE
4,10163,EPIINF,EPINEPHrine infusion - ICU (EPINEPHrine) MED
4,10163,EPIMDV,EPINEPHrine (EPINEPHrine) (30 mL) INJ.
4,10163,EPIRXN,EPINEPHrine reaction protocol (EPINEPHrine reaction protocol) 1 mg (1 mL) AMPUL
4,10163,EPISYR,EPINEPHrine 1:10000  LUER-LOCK (EPINEPHrine 1:10000 LUER-LOCK) SYRINGE
4,10163,EPISYR1,EPINEPHrine 1:1000 (LUER-LOCK) (EPINEPHrine 1:1000 (LUER-LOCK)) SYRINGE
4,10163,EPLE25,EPLERENONE (INSPRA) 25 mg TABLET
4,10163,EPLE50,EPLERENONE (INSPRA) 50 mg TABLET
4,10163,EVIC5,EVICEL (fibrin sealant (HUMAN)) (5 mL) MED
4,10163,EVIC5D,fibrin sealant (HUMAN)w/device (EVICEL W/DEVICE) (5 mL) KIT
4,10163,EVICKIT,EVICEL (EVICEL) KIT
