itemtransactionkey,skclientkey,itemtransactionrootkey,transactionsessionkey,itemtransactiontypekey,txtimekey,itemrootkey,itemkey,medkey,meditemrootkey,meditemkey,medfullname,device_naturalkey,dispensingdevicekey,storagespacerootkey,storagespacekey,storagespaceitemrootkey,storagespaceitemkey,storagespaceshortname,storagespaceabbreviatedname,transactionlocaldatetime,cancelflag,startstoragespaceinventoryquantity,endstoragespaceinventoryquantity,estransactiontypekey,legacytransactiontypekey,ismeddeviceexclude,ismedexclude,isdeviceexclude,transactionquantity,actualbegincount,hdp_shardid,medid,dispensingdevicename
-9223372033320095622,13535,1386577454,-1164493413,-2147445089,20201229,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2145981112,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2020-12-29 09:18:48.0,False,6.0000,5.0000,13,13,False,False,False,1.000000000000000000,6.000000000000000000,15,33580,MURED
-9223372033256803692,13535,1449701249,-1147712889,-2147445104,20210409,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440892,-2145970039,-2127103406,-2118103543,-2120820126,-2106481563,ED_TOWER 1 Dr 4-Pkt 9,ED_TOWER 1 4-9,2021-04-09 09:32:52.0,False,5.0000,4.0000,502,502,False,False,False,1.000000000000000000,5.000000000000000000,15,33580,MURED
-9223372033379418809,13535,1327373749,-1180285603,-2147445089,20201008,-2140168817,-2136406277,-2109694201,-2140168817,-2135861958,atropine 1 mg/10 mL SYRINGE,-2147440890,-2146016092,-2127104157,-2118104427,-2122538785,-2108428058,EMS_TOWER Dr 3-Pkt 2,EMS_TOWER 3-2,2020-10-08 08:30:45.0,False,15.0000,13.0000,13,13,False,False,False,2.000000000000000000,15.000000000000000000,15,33580,MUREMS
-9223372033318908316,13535,1387761779,-1164182818,-2147445089,20201231,-2140168811,-2136406271,-2109694207,-2140168811,-2135853030,atropine ophthalmic 1% solution 5 mL (Isopto-Atropine) (100 drop) BOTTLE,-2147440893,-2145981111,-2127105512,-2118106460,-2122539140,-2105429687,MED-SURG_AUX Drw 7-Pkt 16,MED-SURG_AUX 7-16,2020-12-31 09:23:43.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,03669,MURMSU
-9223372033470691895,13535,1236268122,-1204738566,-2147445089,20200521,-2140168809,-2136406269,-2109696009,-2140168809,-2135859649,atropine-diphenoxylate (Lomotil) TAB,-2147440893,-2146016094,-2127105884,-2115029602,-2122539024,-2109146634,MED-SURG_AUX Drw 3.2-Pkt C4,MED-SURG_AUX 3.2-C4,2020-05-21 08:24:34.0,False,20.0000,17.0000,13,13,False,False,False,3.000000000000000000,20.000000000000000000,15,23897,MURMSU
-9223372033402433503,13535,1304382973,-1186473268,-2147445089,20200921,-2140168809,-2136406269,-2109696009,-2140168809,-2135859649,atropine-diphenoxylate (Lomotil) TAB,-2147440893,-2146006755,-2127105884,-2115029602,-2122539024,-2109146634,MED-SURG_AUX Drw 3.2-Pkt C4,MED-SURG_AUX 3.2-C4,2020-09-21 09:18:18.0,False,15.0000,6.0000,13,13,False,False,False,9.000000000000000000,15.000000000000000000,15,23897,MURMSU
-9223372033269683588,13535,1436856688,-1151135816,-2147445089,20210318,-2140168809,-2136406269,-2109696009,-2140168809,-2135859649,atropine-diphenoxylate (Lomotil) TAB,-2147440893,-2145970038,-2127105884,-2115029602,-2122539024,-2109146634,MED-SURG_AUX Drw 3.2-Pkt C4,MED-SURG_AUX 3.2-C4,2021-03-18 08:36:44.0,False,19.0000,10.0000,13,13,False,False,False,9.000000000000000000,19.000000000000000000,15,23897,MURMSU
-9223372033502021203,13535,1204999766,-1213170267,-2147445089,20200306,-2140168809,-2136406269,-2111768289,-2140168809,-2135859649,atropine-diphenoxylate (Lomotil) TAB,-2147440893,-2146020635,-2127105884,-2118106978,-2122539024,-2109146634,MED-SURG_AUX Drw 3.2-Pkt C4,MED-SURG_AUX 3.2-C4,2020-03-06 11:14:50.0,False,15.0000,12.0000,13,13,False,False,False,3.000000000000000000,15.000000000000000000,15,23897,MURMSU
-9223372033391614466,13535,1315188361,-1183567336,-2147445104,20201001,-2140168796,-2136406256,-2109695425,-2140168796,-2135859624,azithromycin (Zithromax) 500 mg VIAL,-2147440893,-2146006755,-2127104488,-2118105878,-2118199337,-2102605402,MEDSURG_TOWER_1 Dr 2-Pkt 11,MEDSURG_TOWER_1 2-11,2020-10-01 09:27:03.0,False,12.0000,11.0000,502,502,False,False,False,1.000000000000000000,12.000000000000000000,15,45360,MURMSU
-9223372033416814166,13535,1290027457,-1190343581,-2147445089,20200901,-2140168788,-2136406248,-2109695424,-2140168788,-2135859610,aztreonam (Azactam) 1 g VIAL,-2147440893,-2146006755,-2127104712,-2118105674,-2118199332,-2102741467,MEDSURG_TOWER_1 Dr 4-Pkt 15,MEDSURG_TOWER_1 4-15,2020-09-01 09:21:00.0,False,9.0000,1.0000,13,13,False,False,False,8.000000000000000000,9.000000000000000000,15,54587,MURMSU
-9223372033355081278,13535,1351679486,-1173779220,-2147445089,20201027,-2140168788,-2136406248,-2109695424,-2140168788,-2135859610,aztreonam (Azactam) 1 g VIAL,-2147440892,-2146014663,-2127106181,-2115029872,-2117243200,-2101398921,ED_AUX Drw 5.1-Pkt D5,ED_AUX 5.1-D5,2020-10-27 09:19:30.0,False,3.0000,0.0000,13,13,False,False,False,3.000000000000000000,3.000000000000000000,15,54587,MURED
-9223372033282254107,13535,1424320468,-1154467306,-2147445089,20210225,-2140168788,-2136406248,-2109695424,-2140168788,-2135859610,aztreonam (Azactam) 1 g VIAL,-2147440893,-2145971825,-2127104712,-2118105674,-2118199332,-2102741467,MEDSURG_TOWER_1 Dr 4-Pkt 15,MEDSURG_TOWER_1 4-15,2021-02-25 09:31:50.0,False,11.0000,0.0000,13,13,False,False,False,11.000000000000000000,11.000000000000000000,15,54587,MURMSU
-9223372033434355400,13535,1272526340,-1195041398,-2147445089,20200729,-2140168787,-2136406247,-2109694403,-2140168787,-2135859608,aztreonam (Azactam) 2 g VIAL,-2147440893,-2146016094,-2127104686,-2118105672,-2117836380,-2102235471,MEDSURG_TOWER_1 Dr 4-Pkt 17,MEDSURG_TOWER_1 4-17,2020-07-29 09:22:42.0,False,5.0000,0.0000,13,13,False,False,False,5.000000000000000000,5.000000000000000000,15,54716,MURMSU
-9223372033244019660,13535,1462452666,-1144295428,-2147445089,20210429,-2140168787,-2136406247,-2109694403,-2140168787,-2135859608,aztreonam (Azactam) 2 g VIAL,-2147440893,-2145970038,-2127104686,-2118105672,-2117836380,-2102235471,MEDSURG_TOWER_1 Dr 4-Pkt 17,MEDSURG_TOWER_1 4-17,2021-04-29 10:59:44.0,False,6.0000,0.0000,13,13,False,False,False,6.000000000000000000,6.000000000000000000,15,54716,MURMSU
-9223372033353769557,13535,1352991855,-1173432539,-2147445089,20201029,-2140168848,-2136406308,-2109696701,-2140168848,-2135859705,aspirin-dipyridamole 25 mg-200 mg (Aggrenox) CAP,-2147440893,-2146006755,-2127105914,-2115029626,-2122539080,-2109146993,MED-SURG_AUX Drw 3.1-Pkt C3,MED-SURG_AUX 3.1-C3,2020-10-29 10:24:27.0,False,10.0000,0.0000,13,13,False,False,False,10.000000000000000000,10.000000000000000000,15,00036,MURMSU
-9223372033355081280,13535,1351679470,-1173779221,-2147445089,20201027,-2140168848,-2136406308,-2109696701,-2140168848,-2135859705,aspirin-dipyridamole 25 mg-200 mg (Aggrenox) CAP,-2147440892,-2146014663,-2127106375,-2115030045,-2122538514,-2109146079,ED_MAIN Drw 3.2-Pkt A3,ED_MAIN 3.2-A3,2020-10-27 09:19:01.0,False,5.0000,0.0000,13,13,False,False,False,5.000000000000000000,5.000000000000000000,15,00036,MURED
-9223372033416814168,13535,1290027473,-1190343582,-2147445089,20200901,-2140168838,-2136406298,-2109696347,-2140168838,-2135859685,atenolol (Tenormin) 25 mg TAB,-2147440893,-2146006755,-2127105895,-2115029634,-2122539062,-2109147235,MED-SURG_AUX Drw 3.1-Pkt B1,MED-SURG_AUX 3.1-B1,2020-09-01 09:19:53.0,False,12.0000,0.0000,13,13,False,False,False,12.000000000000000000,12.000000000000000000,15,30288,MURMSU
-9223372033320095624,13535,1386577455,-1164493414,-2147445089,20201229,-2140168837,-2136406297,-2109695732,-2140168837,-2135859683,atenolol (Tenormin) 50 mg TAB,-2147440892,-2145981112,-2127106443,-2115030088,-2122539622,-2109146984,ED_MAIN Drw 2.2-Pkt A1,ED_MAIN 2.2-A1,2020-12-29 09:17:57.0,False,17.0000,0.0000,13,13,False,False,False,17.000000000000000000,17.000000000000000000,15,02105,MURED
-9223372033318908318,13535,1387761774,-1164182819,-2147445089,20201231,-2140168837,-2136406297,-2109695732,-2140168837,-2135859683,atenolol (Tenormin) 50 mg TAB,-2147440893,-2145981111,-2127105929,-2115029675,-2122539240,-2109147234,MED-SURG_MAIN Drw 4.1-Pkt A1,MED-SURG_MAIN 4.1-A1,2020-12-31 09:23:18.0,False,14.0000,0.0000,13,13,False,False,False,14.000000000000000000,14.000000000000000000,15,02105,MURMSU
-9223372033288224589,13535,1418366115,-1156040088,-2147445089,20210215,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2021-02-15 07:40:52.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033434355721,13535,1272526047,-1195041493,-2147445089,20200729,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-07-29 07:32:56.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033343406470,13535,1363324317,-1170653109,-2147445089,20201117,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-11-17 07:49:10.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033336241959,13535,1370471159,-1168758731,-2147445089,20201130,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-11-30 14:07:09.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033502021557,13535,1204999446,-1213170346,-2147445089,20200306,-2140168824,-2136406284,-2113999072,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146079758,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-03-06 07:47:11.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033484623962,13535,1222364240,-1208483247,-2147445089,20200416,-2140168824,-2136406284,-2113999072,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146079759,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-04-16 07:37:02.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033468535860,13535,1238418979,-1204160120,-2147445089,20200526,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-05-26 07:31:37.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033273805216,13535,1432746111,-1152231328,-2147445089,20210311,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2021-03-11 07:40:57.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033282254287,13535,1424320311,-1154467368,-2147445089,20210225,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2021-02-25 08:03:48.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033495363834,13535,1211644961,-1211374890,-2147445089,20200318,-2140168824,-2136406284,-2113999072,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146079759,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-03-18 07:35:59.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033468535868,13535,1238418975,-1204160017,-2147445089,20200526,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-05-26 07:25:16.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033401130801,13535,1305684077,-1186128280,-2147445089,20200922,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-09-22 07:40:34.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033282254301,13535,1424320302,-1154467373,-2147445089,20210225,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2021-02-25 08:00:00.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033420752299,13535,1286098072,-1191404499,-2147445089,20200825,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-08-25 07:51:40.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033298256030,13535,1408363519,-1158729750,-2147445089,20210203,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2021-02-03 07:39:04.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033448145037,13535,1258768686,-1198696674,-2147445089,20200703,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-07-03 07:51:24.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033441584228,13535,1265313835,-1196950405,-2147445089,20200715,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-07-15 07:25:17.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033427806652,13535,1279060356,-1193298100,-2147445089,20200811,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-08-11 07:38:10.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033490470501,13535,1216529268,-1210062002,-2147445089,20200330,-2140168824,-2136406284,-2113999072,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146079758,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-03-30 07:41:06.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033461784914,13535,1245155023,-1202359806,-2147445089,20200609,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-06-09 07:44:52.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033427806637,13535,1279060398,-1193298089,-2147445089,20200811,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-08-11 07:41:40.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033350018872,13535,1356727964,-1172437058,-2147445089,20201105,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-11-05 07:51:39.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033305866597,13535,1400772065,-1160722181,-2147445089,20210121,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2021-01-21 07:43:29.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033461784847,13535,1245155079,-1202359801,-2147445089,20200609,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-06-09 07:50:05.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033350018974,13535,1356727850,-1172436978,-2147445089,20201105,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-11-05 07:45:38.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033343406481,13535,1363324324,-1170652986,-2147445089,20201117,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-11-17 07:46:16.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033305866581,13535,1400772118,-1160722171,-2147445089,20210121,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2021-01-21 07:47:17.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033320705058,13535,1385969530,-1164653156,-2147445089,20201228,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-12-28 07:34:50.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033473749815,13535,1233216155,-1205554365,-2147445089,20200514,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438155,-2146016095,-2125719455,-2116025459,-2118760994,-2103526512,OR2 Drw 2.1-Pkt 15,OR2 2.1-15,2020-05-14 07:40:48.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA2
-9223372033288224581,13535,1418366133,-1156040085,-2147445089,20210215,-2140168824,-2136406284,-2109693969,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146016096,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2021-02-15 07:43:17.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
-9223372033502021504,13535,1204999528,-1213170340,-2147445089,20200306,-2140168824,-2136406284,-2113999072,-2140168824,-2135859657,atracurium (Tracrium) 50 mg/5 mL VIAL,-2147438156,-2146079759,-2125719748,-2116025587,-2118760995,-2103519951,OR1 Drw 2.1-Pkt 15,OR1 2.1-15,2020-03-06 07:50:59.0,False,1.0000,0.0000,13,13,False,False,False,1.000000000000000000,1.000000000000000000,15,25155,MURORA1
